"Step","WC_lmax3_nv4_ns14 - valinf_rmsds_lt5","WC_lmax3_nv4_ns14 - valinf_rmsds_lt5__MIN","WC_lmax3_nv4_ns14 - valinf_rmsds_lt5__MAX","WC_lmax2_nv4_ns16 - valinf_rmsds_lt5","WC_lmax2_nv4_ns16 - valinf_rmsds_lt5__MIN","WC_lmax2_nv4_ns16 - valinf_rmsds_lt5__MAX","WC_lmax1_nv5_ns18 - valinf_rmsds_lt5","WC_lmax1_nv5_ns18 - valinf_rmsds_lt5__MIN","WC_lmax1_nv5_ns18 - valinf_rmsds_lt5__MAX","WC_lmax0_nv6_ns24 - valinf_rmsds_lt5","WC_lmax0_nv6_ns24 - valinf_rmsds_lt5__MIN","WC_lmax0_nv6_ns24 - valinf_rmsds_lt5__MAX"
"785","","","","","","","95.1219512195122","95.1219512195122","95.1219512195122","12.195121951219512","12.195121951219512","12.195121951219512"
"790","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","7.317073170731708","7.317073170731708","7.317073170731708"
"795","","","","","","","82.92682926829268","82.92682926829268","82.92682926829268","12.195121951219512","12.195121951219512","12.195121951219512"
"800","","","","","","","97.5609756097561","97.5609756097561","97.5609756097561","12.195121951219512","12.195121951219512","12.195121951219512"
"805","","","","","","","85.36585365853658","85.36585365853658","85.36585365853658","17.073170731707318","17.073170731707318","17.073170731707318"
"810","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","21.951219512195124","21.951219512195124","21.951219512195124"
"815","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","17.073170731707318","17.073170731707318","17.073170731707318"
"820","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","19.51219512195122","19.51219512195122","19.51219512195122"
"825","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","12.195121951219512","12.195121951219512","12.195121951219512"
"830","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","17.073170731707318","17.073170731707318","17.073170731707318"
"835","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","14.634146341463415","14.634146341463415","14.634146341463415"
"840","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","9.75609756097561","9.75609756097561","9.75609756097561"
"845","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","14.634146341463415","14.634146341463415","14.634146341463415"
"850","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","31.70731707317073","31.70731707317073","31.70731707317073"
