"Step","lmax2_ns8_nv2 - valinf_rmsds_lt2","lmax2_ns8_nv2 - valinf_rmsds_lt2__MIN","lmax2_ns8_nv2 - valinf_rmsds_lt2__MAX","lmax3_ns8_nv2 - valinf_rmsds_lt2","lmax3_ns8_nv2 - valinf_rmsds_lt2__MIN","lmax3_ns8_nv2 - valinf_rmsds_lt2__MAX","lmax1_ns8_nv2_1e_0o - valinf_rmsds_lt2","lmax1_ns8_nv2_1e_0o - valinf_rmsds_lt2__MIN","lmax1_ns8_nv2_1e_0o - valinf_rmsds_lt2__MAX","lmax1_ns8_nv2_1e_0e - valinf_rmsds_lt2","lmax1_ns8_nv2_1e_0e - valinf_rmsds_lt2__MIN","lmax1_ns8_nv2_1e_0e - valinf_rmsds_lt2__MAX","lmax1_ns8_nv2_1o_0e - valinf_rmsds_lt2","lmax1_ns8_nv2_1o_0e - valinf_rmsds_lt2__MIN","lmax1_ns8_nv2_1o_0e - valinf_rmsds_lt2__MAX","lmax1_ns8_nv2_odd - valinf_rmsds_lt2","lmax1_ns8_nv2_odd - valinf_rmsds_lt2__MIN","lmax1_ns8_nv2_odd - valinf_rmsds_lt2__MAX","lmax1_ns8_nv2 - valinf_rmsds_lt2","lmax1_ns8_nv2 - valinf_rmsds_lt2__MIN","lmax1_ns8_nv2 - valinf_rmsds_lt2__MAX","lmax0_ns8_nv2 - valinf_rmsds_lt2","lmax0_ns8_nv2 - valinf_rmsds_lt2__MIN","lmax0_ns8_nv2 - valinf_rmsds_lt2__MAX"
"285","19.512195121951223","17.073170731707318","21.951219512195124","24.390243902439025","24.390243902439025","24.390243902439025","9.75609756097561","9.75609756097561","9.75609756097561","14.634146341463415","14.634146341463415","14.634146341463415","9.75609756097561","9.75609756097561","9.75609756097561","29.26829268292683","29.26829268292683","29.26829268292683","17.073170731707318","17.073170731707318","17.073170731707318","0","0","0"
"290","23.170731707317074","21.951219512195124","24.390243902439025","23.170731707317074","21.951219512195124","24.390243902439025","12.195121951219512","12.195121951219512","12.195121951219512","17.073170731707318","17.073170731707318","17.073170731707318","12.195121951219512","12.195121951219512","12.195121951219512","17.073170731707318","17.073170731707318","17.073170731707318","29.26829268292683","29.26829268292683","29.26829268292683","0","0","0"
"295","28.04878048780488","21.951219512195124","34.146341463414636","15.853658536585368","14.634146341463415","17.073170731707318","12.195121951219512","12.195121951219512","12.195121951219512","12.195121951219512","12.195121951219512","12.195121951219512","14.634146341463415","14.634146341463415","14.634146341463415","19.51219512195122","19.51219512195122","19.51219512195122","24.390243902439025","24.390243902439025","24.390243902439025","0","0","0"
"300","21.951219512195124","19.51219512195122","24.390243902439025","21.951219512195124","21.951219512195124","21.951219512195124","17.073170731707318","17.073170731707318","17.073170731707318","19.51219512195122","19.51219512195122","19.51219512195122","4.878048780487805","4.878048780487805","4.878048780487805","26.829268292682926","26.829268292682926","26.829268292682926","17.073170731707318","17.073170731707318","17.073170731707318","0","0","0"
"305","24.390243902439025","24.390243902439025","24.390243902439025","29.26829268292683","29.26829268292683","29.26829268292683","9.75609756097561","9.75609756097561","9.75609756097561","19.51219512195122","19.51219512195122","19.51219512195122","7.317073170731708","7.317073170731708","7.317073170731708","21.951219512195124","21.951219512195124","21.951219512195124","14.634146341463415","14.634146341463415","14.634146341463415","0","0","0"
"310","26.829268292682926","24.390243902439025","29.26829268292683","9.75609756097561","9.75609756097561","9.75609756097561","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","9.75609756097561","9.75609756097561","9.75609756097561","19.51219512195122","19.51219512195122","19.51219512195122","29.26829268292683","29.26829268292683","29.26829268292683","0","0","0"
"315","26.829268292682926","21.951219512195124","31.70731707317073","21.951219512195124","21.951219512195124","21.951219512195124","9.75609756097561","9.75609756097561","9.75609756097561","14.634146341463415","14.634146341463415","14.634146341463415","12.195121951219512","12.195121951219512","12.195121951219512","14.634146341463415","14.634146341463415","14.634146341463415","26.829268292682926","26.829268292682926","26.829268292682926","0","0","0"
"320","24.390243902439025","24.390243902439025","24.390243902439025","19.51219512195122","19.51219512195122","19.51219512195122","9.75609756097561","9.75609756097561","9.75609756097561","21.951219512195124","21.951219512195124","21.951219512195124","7.317073170731708","7.317073170731708","7.317073170731708","24.390243902439025","24.390243902439025","24.390243902439025","19.51219512195122","19.51219512195122","19.51219512195122","0","0","0"
"325","23.170731707317074","21.951219512195124","24.390243902439025","29.26829268292683","29.26829268292683","29.26829268292683","4.878048780487805","4.878048780487805","4.878048780487805","17.073170731707318","17.073170731707318","17.073170731707318","7.317073170731708","7.317073170731708","7.317073170731708","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","0","0","0"
"330","32.926829268292686","31.70731707317073","34.146341463414636","","","","19.51219512195122","19.51219512195122","19.51219512195122","17.073170731707318","17.073170731707318","17.073170731707318","9.75609756097561","9.75609756097561","9.75609756097561","14.634146341463415","14.634146341463415","14.634146341463415","17.073170731707318","17.073170731707318","17.073170731707318","2.4390243902439024","2.4390243902439024","2.4390243902439024"
"335","25.609756097560975","24.390243902439025","26.829268292682926","","","","12.195121951219512","12.195121951219512","12.195121951219512","9.75609756097561","9.75609756097561","9.75609756097561","7.317073170731708","7.317073170731708","7.317073170731708","24.390243902439025","24.390243902439025","24.390243902439025","19.51219512195122","19.51219512195122","19.51219512195122","0","0","0"
"340","18.29268292682927","17.073170731707318","19.51219512195122","","","","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"345","21.951219512195124","19.51219512195122","24.390243902439025","","","","7.317073170731708","7.317073170731708","7.317073170731708","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","26.829268292682926","26.829268292682926","26.829268292682926","24.390243902439025","24.390243902439025","24.390243902439025","0","0","0"
"350","25.609756097560975","24.390243902439025","26.829268292682926","","","","17.073170731707318","17.073170731707318","17.073170731707318","9.75609756097561","9.75609756097561","9.75609756097561","14.634146341463415","14.634146341463415","14.634146341463415","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","2.4390243902439024","2.4390243902439024","2.4390243902439024"
"355","20.731707317073173","19.51219512195122","21.951219512195124","","","","4.878048780487805","4.878048780487805","4.878048780487805","17.073170731707318","17.073170731707318","17.073170731707318","12.195121951219512","12.195121951219512","12.195121951219512","17.073170731707318","17.073170731707318","17.073170731707318","19.51219512195122","19.51219512195122","19.51219512195122","0","0","0"
"360","21.951219512195124","17.073170731707318","26.829268292682926","","","","12.195121951219512","12.195121951219512","12.195121951219512","12.195121951219512","12.195121951219512","12.195121951219512","12.195121951219512","12.195121951219512","12.195121951219512","14.634146341463415","14.634146341463415","14.634146341463415","24.390243902439025","24.390243902439025","24.390243902439025","0","0","0"
"365","23.170731707317074","14.634146341463415","31.70731707317073","","","","14.634146341463415","14.634146341463415","14.634146341463415","17.073170731707318","17.073170731707318","17.073170731707318","7.317073170731708","7.317073170731708","7.317073170731708","19.51219512195122","19.51219512195122","19.51219512195122","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
